date,XLY,XLF,XLV,XLK,XLP,XLI,XLB,XLE,XLU,XLRE,XLC,SPY
2025-04-15,93.52296447753906,46.38866424560547,134.6834259033203,99.75528717041016,78.30614471435547,124.36384582519531,39.49079132080078,38.02134323120117,37.52572250366211,38.16693115234375,90.7457275390625,530.151123046875
2025-04-16,91.21585083007812,45.662452697753906,133.31399536132812,96.28925323486328,77.46539306640625,122.66104125976562,39.18299102783203,38.3339729309082,37.187564849853516,38.147769927978516,88.3024673461914,518.3668823242188
2025-04-17,91.79014587402344,45.78022003173828,132.5314483642578,95.76786041259766,79.11791229248047,123.33036041259766,39.451698303222656,39.19973373413086,37.56919479370117,38.751312255859375,88.87388610839844,519.1065063476562
2025-04-21,89.33944702148438,44.79887008666992,129.6752471923828,93.29495239257812,78.36412811279297,120.56452178955078,38.85076904296875,38.17525100708008,36.68033218383789,37.946590423583984,86.87393951416016,506.7503967285156
2025-04-22,92.16641998291016,46.28071212768555,132.11085510253906,95.5692367553711,79.4754638671875,122.67089080810547,39.75949478149414,39.14682388305664,37.68031311035156,38.722572326660156,89.13988494873047,519.9348754882812
2025-04-23,94.22600555419922,46.83026885986328,132.76620483398438,98.34008026123047,79.0212631225586,124.20635986328125,39.80835723876953,39.074684143066406,37.839725494384766,38.77047348022461,90.56840515136719,527.991455078125
2025-04-24,96.10240173339844,47.35039138793945,134.38998413085938,102.00968933105469,78.32546997070312,126.99187469482422,40.668235778808594,39.699947357177734,37.8976936340332,38.885433197021484,92.38115692138672,539.1051635742188
2025-04-25,97.83028411865234,47.12467956542969,135.0355682373047,103.5192642211914,78.12252807617188,126.98202514648438,40.36532211303711,39.627803802490234,37.781761169433594,38.82795333862305,92.96240997314453,543.0003662109375
2025-04-28,97.86492919921875,47.27187728881836,135.5735626220703,103.3504409790039,77.86161041259766,127.40526580810547,40.438602447509766,39.906768798828125,38.01363754272461,39.06745529174805,93.31708526611328,543.2074584960938
2025-04-29,98.55806732177734,47.76255798339844,136.2386932373047,103.83210754394531,78.50907897949219,128.23207092285156,40.77571105957031,39.79133987426758,38.30831527709961,39.38359832763672,93.99686431884766,546.6292724609375
2025-04-30,97.66194152832031,47.85087585449219,137.40272521972656,104.26411437988281,79.07925415039062,129.1573028564453,40.98579788208008,38.718753814697266,38.115081787109375,39.565616607666016,94.02641296386719,546.8462524414062
2025-05-01,98.20160675048828,47.841068267822266,133.65635681152344,105.79353332519531,78.39311981201172,130.13172912597656,40.80502700805664,38.86305236816406,38.22618865966797,39.68058395385742,94.50916290283203,550.7216796875
2025-05-02,99.72647094726562,48.832237243652344,135.50509643554688,107.56130981445312,78.81832122802734,132.46446228027344,41.49390411376953,39.43061065673828,38.525699615478516,40.16916275024414,95.97708129882812,558.8967895507812
2025-05-05,98.6669692993164,48.51820373535156,135.12359619140625,106.99026489257812,78.75067901611328,132.53335571289062,41.18611145019531,38.718753814697266,38.42908477783203,40.12125778198242,96.20368957519531,555.6917724609375
2025-05-06,97.80552673339844,48.2434196472168,131.39678955078125,106.10140991210938,78.6153793334961,131.37191772460938,40.888084411621094,38.728370666503906,38.89767074584961,39.84343719482422,96.18397521972656,551.047119140625
2025-05-07,98.56796264648438,48.52801513671875,132.404296875,107.1640625,78.74102020263672,132.04122924804688,40.66334533691406,38.74280548095703,39.008785247802734,39.81470489501953,96.00663757324219,553.3645629882812
2025-05-08,99.73143005371094,48.93037033081055,131.2109375,108.1869888305664,78.64437866210938,133.86215209960938,41.20565414428711,39.25264358520508,38.69477844238281,39.623104095458984,96.23323822021484,557.22021484375
